region,date,sunny_days,mean_sun_hours,total_sun_hours
dalarna,2016-05-01,14,6.806308243727599,210.99555555555557
dalarna,2016-06-01,24,10.10886111111111,303.2658333333333
dalarna,2016-07-01,20,9.234399641577062,286.2663888888889
dalarna,2016-08-01,13,5.56834229390681,172.6186111111111
dalarna,2016-09-01,14,5.372851851851852,161.18555555555557
dalarna,2016-10-01,8,3.10002688172043,96.10083333333334
dalarna,2016-11-01,1,1.0289537037037038,30.86861111111111
dalarna,2016-12-01,0,1.7233691756272402,53.42444444444445
dalarna,2017-01-01,1,2.1559139784946235,66.83333333333333
dalarna,2017-02-01,6,2.878561507936508,80.59972222222223
dalarna,2017-03-01,13,4.928718637992832,152.7902777777778
dalarna,2017-04-01,20,7.164074074074074,214.92222222222222
dalarna,2017-05-01,19,7.619310035842294,236.19861111111112
dalarna,2017-06-01,18,8.023537037037038,240.7061111111111
dalarna,2017-07-01,21,7.883736559139785,244.39583333333334
dalarna,2017-08-01,20,7.138396057347671,221.2902777777778
dalarna,2017-09-01,3,2.0874444444444444,62.623333333333335
dalarna,2017-10-01,8,3.132921146953405,97.12055555555555
dalarna,2017-11-01,2,2.121537037037037,63.64611111111111
dalarna,2017-12-01,0,0.8345698924731183,25.871666666666666
dalarna,2018-01-01,1,0.8917562724014337,27.644444444444446
dalarna,2018-02-01,1,1.2115575396825398,33.923611111111114
dalarna,2018-03-01,16,5.788897849462366,179.45583333333335
dalarna,2018-04-01,22,8.474657407407408,254.2397222222222
dalarna,2018-05-01,27,12.728216845878137,394.57472222222225
dalarna,2018-06-01,24,10.225972222222222,306.77916666666664
dalarna,2018-07-01,26,12.06334229390681,373.9636111111111
dalarna,2018-08-01,17,6.611299283154122,204.95027777777779
dalarna,2018-09-01,16,6.27925,188.3775
dalarna,2018-10-01,12,4.250304659498208,131.75944444444445
dalarna,2018-11-01,4,2.0298055555555554,60.89416666666666
dalarna,2018-12-01,0,0.8200448028673835,25.421388888888888
dalarna,2019-01-01,1,1.404094982078853,43.526944444444446
dalarna,2019-02-01,6,2.7516170634920636,77.04527777777778
dalarna,2019-03-01,15,5.1432974910394265,159.44222222222223
dalarna,2019-04-01,26,11.171333333333333,335.14
dalarna,2019-05-01,13,6.286460573476703,194.8802777777778
dalarna,2019-06-01,22,8.816194444444445,264.48583333333335
dalarna,2019-07-01,21,8.589623655913977,266.2783333333333
dalarna,2019-08-01,17,6.495716845878136,201.3672222222222
dalarna,2019-09-01,11,4.2704351851851845,128.11305555555555
