Period;Grupp;Serie;Medel;Min;Max
2024 februari;Valutor mot svenska kronor;1 USD;10,42206;10,29073;10,59527
2024 mars;Valutor mot svenska kronor;1 USD;10,39886;10,21222;10,66044
2024 april;Valutor mot svenska kronor;1 USD;10,80559;10,52901;10,97885
2024 maj;Valutor mot svenska kronor;1 USD;10,73795;10,52433;10,92153
2024 juni;Valutor mot svenska kronor;1 USD;10,49285;10,37576;10,6114
2024 juli;Valutor mot svenska kronor;1 USD;10,63475;10,49566;10,85061
2024 augusti;Valutor mot svenska kronor;1 USD;10,40418;10,19154;10,69156
2024 september;Valutor mot svenska kronor;1 USD;10,22709;10,09289;10,37309
2024 oktober;Valutor mot svenska kronor;1 USD;10,46001;10,20612;10,69441
2024 november;Valutor mot svenska kronor;1 USD;10,89766;10,66743;11,09585
2024 december;Valutor mot svenska kronor;1 USD;10,96938;10,89028;11,04975
2025 januari;Valutor mot svenska kronor;1 USD;11,09257;10,91738;11,28211
2025 februari;Valutor mot svenska kronor;1 USD;10,80266;10,6178;11,17481
2025 mars;Valutor mot svenska kronor;1 USD;10,15009;9,9746;10,65456
2025 april;Valutor mot svenska kronor;1 USD;9,7892;9,51142;10,10121
2025 maj;Valutor mot svenska kronor;1 USD;9,64919;9,51894;9,80056
